Country,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Total_2023
Afghanistan,450,1080,1400,1050,1270,1690,1020,1720,1390,1560,2070,1710,16410
Albania,70,80,70,60,50,50,40,100,110,70,90,130,920
Algeria,20,30,40,30,30,30,30,30,40,20,40,30,370
Andorra,10,10,10,10,0,10,10,10,10,10,0,0,90
Angola,0,10,0,0,10,10,0,10,10,0,10,0,60
Antigua and Barbuda,10,0,0,0,0,0,10,10,10,10,10,10,70
Argentina,1760,2010,2100,1750,1750,1620,1460,1870,2130,2190,1840,2240,22720
Armenia,30,50,40,30,30,30,30,40,20,30,90,80,500
Australia,936160,578070,575080,681440,643650,679980,938730,774960,843780,940730,726390,692010,9010980
Austria,1560,1990,1760,1100,790,870,1430,1160,1300,1800,1700,2340,17800
Azerbaijan,20,30,60,30,30,30,30,40,40,40,60,70,480
Bahamas,10,10,10,10,30,0,10,10,20,20,10,10,150
Bahrain,20,50,20,20,20,40,40,20,20,20,30,40,340
Bangladesh,2450,4720,3440,2220,3110,2600,4820,2910,2620,2730,2820,4340,38780
Barbados,10,20,10,0,20,10,10,20,10,20,10,30,170
Belarus,60,110,100,50,40,60,50,60,70,80,90,160,930
Belgium,1410,1910,1790,1340,1000,990,1700,1190,1810,2350,2010,2290,19790
Belize,0,10,0,0,0,0,0,10,10,0,0,10,40
Benin,0,0,0,0,10,0,0,10,0,0,0,0,20
Bhutan,2440,3030,1460,1200,1760,1770,2170,1260,920,1120,1360,1710,20200
Bolivia,30,40,40,30,50,30,30,40,40,30,40,50,450
Bosnia and Herzegovina,80,130,90,60,60,60,50,110,140,90,120,190,1180
Botswana,110,80,60,70,50,50,90,70,130,70,90,110,980
Brazil,6290,5760,6350,6570,5130,5050,4390,5390,5570,5480,6000,7470,69450
Brunei,300,490,230,400,330,360,610,560,380,270,380,580,4890
Bulgaria,230,270,250,190,160,130,100,160,160,200,290,420,2560
Burkina Faso,0,0,0,0,0,0,0,0,10,0,10,0,20
Burundi,20,30,20,20,10,20,30,40,30,20,30,20,290
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,1700,2410,1660,2770,1840,1970,1930,1790,1590,1830,1580,2240,23310
Cameroon,20,20,10,10,10,20,40,20,30,10,30,20,240
Canada,14760,18980,17700,13010,10200,8390,11380,10630,11070,15390,17540,21590,170640
